batch,iteration,params,mse
1,1,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'max_depth': 10, 'eta': 0.2, 'subsample': 0.6, 'colsample_bytree': 1.0}",0.092602946
2,1,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'max_depth': 7, 'eta': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8}",0.09005167
